strategy,n_approved,approval_rate,total_volume,weighted_pd,actual_default_rate,expected_profit,realized_profit,roi_expected_pct,roi_realized_pct,scenario_type,scenario_value,lgd,funding_cost,servicing_cost,origination_cost
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,150131647.37649745,142197417.62702185,6.199937804172488,5.872280499197997,LGD,0.65,0.65,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,73209908.23549628,65614671.387244806,4.768853739850643,4.274104128468482,LGD,0.65,0.65,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,105615795.26514992,89117474.60804814,11.294675398713387,9.53032589040324,LGD,0.65,0.65,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,119423223.26620331,111241555.12702186,4.9317820030806825,4.5939063154177395,LGD,0.75,0.75,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,59996047.70405753,51965156.387244806,3.908110027257608,3.384982119934985,LGD,0.75,0.75,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,96264859.30098496,78501553.35804814,10.294675482751497,8.395046983720443,LGD,0.75,0.75,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,104069011.2110562,95763623.87702186,4.297704102534778,3.95471922352761,LGD,0.8,0.8,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,53389117.43833814,45140398.887244806,3.4777381709610893,2.940421115668237,LGD,0.8,0.8,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,91589391.31890248,73193592.73304814,9.79467552477055,7.827407530379044,LGD,0.8,0.8,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,88714799.15590915,80285692.62702186,3.6636262019888766,3.315532131637481,LGD,0.85,0.85,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,46782187.17261877,38315641.387244806,3.047366314664572,2.4958601114014884,LGD,0.85,0.85,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,86913923.33682,67885632.10804814,9.294675566789607,7.259768077037644,LGD,0.85,0.85,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,73360587.10076205,64807761.377021864,3.029548301442973,2.676345039747352,LGD,0.9,0.9,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,40175256.906899385,31490883.88724481,2.6169944583680538,2.05129910713474,LGD,0.9,0.9,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,82238455.3547375,62577671.48304813,8.794675608808658,6.692128623696244,LGD,0.9,0.9,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,72961377.58732824,64405335.164521866,3.01306227602878,2.6597261753582084,LGD,0.9013,0.9013,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,40003476.719990686,31313440.19224481,2.605804790104345,2.0397405210238047,LGD,0.9013,0.9013,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,82116893.18720338,62439664.50679813,8.781675609901155,6.677369997909369,LGD,0.9013,0.9013,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,58006375.045615,49329830.127021864,2.3954704008970715,2.037157947857223,LGD,0.95,0.95,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,33568326.64118001,24666126.387244806,2.1866226020715365,1.6067381028679915,LGD,0.95,0.95,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,77562987.37265503,57269710.85804814,8.294675650827713,6.124489170354845,LGD,0.95,0.95,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,42652162.990467906,33851898.877021864,1.7613925003511677,1.3979708559670938,LGD,1.0,1.0,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,26961396.37546062,17841368.887244806,1.756250745775018,1.1621770986012427,LGD,1.0,1.0,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,72887519.39057255,51961750.23304814,7.794675692846767,5.556849717013447,LGD,1.0,1.0,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,121628293.334635,113474196.72702187,5.022844064391675,4.686106989298942,Funding cost,0.02,0.9013,0.02,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,70839207.68574801,62132787.25474481,4.614427591051682,4.047296083393672,Funding cost,0.02,0.9013,0.02,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,102078634.09740986,81903413.63179813,10.916407289078268,8.758845859137923,Funding cost,0.02,0.9013,0.02,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,72961377.58732824,64405335.164521866,3.01306227602878,2.6597261753582084,Funding cost,0.035,0.9013,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,40003476.719990686,31313440.19224481,2.605804790104345,2.0397405210238047,Funding cost,0.035,0.9013,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,82116893.18720338,62439664.50679813,8.781675609901155,6.677369997909369,Funding cost,0.035,0.9013,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,24294461.84002149,15336473.60202187,1.0032804876658856,0.6333453614174758,Funding cost,0.05,0.9013,0.05,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,9167745.754233353,494093.1297448124,0.5971819891570065,0.0321849586539382,Funding cost,0.05,0.9013,0.05,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,62155152.27699688,42975915.38179813,6.64694393072404,4.595894136680813,Funding cost,0.05,0.9013,0.05,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,-40594759.15638754,-50088675.14797816,-1.6764285634846416,-2.068495723836836,Funding cost,0.07,0.9013,0.07,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,-31946562.200109772,-40598369.62025521,-2.0809817454394453,-2.644555791172552,Funding cost,0.07,0.9013,0.07,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,35539497.73005488,17024249.88179813,3.800635025154552,1.8205929883760712,Funding cost,0.07,0.9013,0.07,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,89183682.83643049,80761622.35202187,3.682989538816411,3.335186446671787,Servicing cost,0.005,0.9013,0.035,0.005,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,50282053.70857646,41586555.87974481,3.2753457237534573,2.708925708480427,Servicing cost,0.005,0.9013,0.035,0.005,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,88770806.82393886,68927580.88179813,9.493252836293525,7.371195284985553,Servicing cost,0.005,0.9013,0.035,0.005,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,72961377.58732824,64405335.164521866,3.01306227602878,2.6597261753582084,Servicing cost,0.01,0.9013,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,40003476.719990686,31313440.19224481,2.605804790104345,2.0397405210238047,Servicing cost,0.01,0.9013,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,82116893.18720338,62439664.50679813,8.781675609901155,6.677369997909369,Servicing cost,0.01,0.9013,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,56739072.33822599,48049047.97702186,2.3431350132411484,1.9842659040446309,Servicing cost,0.015,0.9013,0.035,0.015,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,29724899.731404904,21040324.50474481,1.936263856455232,1.3705553335671825,Servicing cost,0.015,0.9013,0.035,0.015,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,75462979.55046786,55951748.13179813,8.070098383508782,5.983544710833183,Servicing cost,0.015,0.9013,0.035,0.015,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,40516767.08912373,31692760.78952186,1.6732077504535168,1.308805632731053,Servicing cost,0.02,0.9013,0.035,0.02,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,19446322.74281913,10767208.81724481,1.2667229228061194,0.7013701461105603,Servicing cost,0.02,0.9013,0.035,0.02,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,68809065.91373236,49463831.75679813,7.35852115711641,5.289719423756998,Servicing cost,0.02,0.9013,0.035,0.02,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,89893477.58732824,81337435.16452186,3.712301701749375,3.358965601078804,Origination cost,100.0,0.9013,0.035,0.01,100.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,52107076.719990686,43417040.19224481,3.3942267334837273,2.8281624644031873,Origination cost,100.0,0.9013,0.035,0.01,100.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,88618793.18720338,68941564.50679813,9.476996322021254,7.372690710029467,Origination cost,100.0,0.9013,0.035,0.01,100.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,72961377.58732824,64405335.164521866,3.01306227602878,2.6597261753582084,Origination cost,200.0,0.9013,0.035,0.01,200.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,40003476.719990686,31313440.19224481,2.605804790104345,2.0397405210238047,Origination cost,200.0,0.9013,0.035,0.01,200.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,82116893.18720338,62439664.50679813,8.781675609901155,6.677369997909369,Origination cost,200.0,0.9013,0.035,0.01,200.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,56029277.58732824,47473235.164521866,2.313822850308185,1.9604867496376137,Origination cost,300.0,0.9013,0.035,0.01,300.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,27899876.71999068,19209840.19224481,1.817382846724962,1.251318577644422,Origination cost,300.0,0.9013,0.035,0.01,300.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,75614993.18720338,55937764.50679813,8.086354897781057,5.9820492857892695,Origination cost,300.0,0.9013,0.035,0.01,300.0
Approve All,169321,100.0,2421502475.0,0.2536311602183612,23.13298409529828,22165077.58732824,13609035.164521864,0.9153439988669944,0.562007898196423,Origination cost,500.0,0.9013,0.035,0.01,500.0
PD Threshold (<0.30),121036,71.48315920647764,1535167825.0,0.17214874251860718,16.930500016524007,3692676.719990682,-4997359.807755191,0.24053895996619662,-0.3255253091143433,Origination cost,500.0,0.9013,0.035,0.01,500.0
BIP Optimal,65019,38.39984408313204,935093675.0,0.19999998319237838,20.251003552807642,62611193.18720337,42933964.50679813,6.6957134735408586,4.591407861549072,Origination cost,500.0,0.9013,0.035,0.01,500.0
