strategy,n_approved,approval_rate,total_volume,weighted_pd,actual_default_rate,expected_profit,realized_profit,roi_expected_pct,roi_realized_pct,issue_month,n_loans_in_month,cumulative_realized_profit
Approve All,16395,100.0,237746100.0,0.2447355328946069,22.689844464775845,8318030.52926682,7850286.962776174,3.4987032507649207,3.3019624560723284,2017-01-01,16395,7850286.962776174
Approve All,13468,100.0,197320800.0,0.24773536282477032,23.21799821799822,6318873.3852419285,5555053.61333501,3.202335174620176,2.8152397584719955,2017-02-01,13468,13405340.576111183
Approve All,17011,100.0,245642400.0,0.24465946004622166,22.949855975545237,7325663.497984463,5487663.826638162,2.9822471600930713,2.2340051337383784,2017-03-01,17011,18893004.402749345
Approve All,13104,100.0,188263575.0,0.2509722595845797,23.80189255189255,5568333.446052406,3965015.7617637366,2.95773276697439,2.1060981986365324,2017-04-01,13104,22858020.16451308
Approve All,16153,100.0,227332400.0,0.251429686125873,23.94601621989723,6563315.767554453,4472053.047152045,2.887100900511521,1.9671868361711948,2017-05-01,16153,27330073.211665127
Approve All,15235,100.0,213858925.0,0.2527486801859834,23.65605513619954,6889006.757105406,5725929.488527155,3.221285600825594,2.677433026714763,2017-06-01,15235,33056002.70019228
Approve All,14959,100.0,207043250.0,0.2595932270361495,24.07246473694766,7103035.102516741,5310989.821231591,3.430701122841117,2.5651596085511557,2017-07-01,14959,38366992.52142388
Approve All,15489,100.0,212119275.0,0.25053504012534433,22.90012266769966,6511499.327527579,6071198.769170813,3.069734859091697,2.862162700287757,2017-08-01,15489,44438191.29059468
Approve All,13406,100.0,196051350.0,0.27308891890118214,24.98881098015814,6971580.702551188,5644384.227377731,3.5559972948674865,2.8790335936874354,2017-09-01,13406,50082575.51797242
Approve All,11926,100.0,171161425.0,0.25726911383925166,22.21197383867181,5227224.19842261,4904845.453767263,3.0539732877443675,2.8656255074805923,2017-10-01,11926,54987420.97173968
Approve All,12112,100.0,174885625.0,0.25324237595883586,20.904887714663147,3781681.921549252,5275571.577681825,2.162374364130415,3.01658388314181,2017-11-01,12112,60262992.549421504
