purpose,n_approved,total_volume,realized_default_rate,realized_profit,strategy,volume_share_pct,roi_realized_pct
debt_consolidation,95056,1467272975.0,24.13419458003703,48086595.81901639,Approve All,60.593494747512075,3.2772767329825854
credit_card,32276,459357250.0,20.584954765150577,11880755.315837087,Approve All,18.96992692522439,2.586386808053446
home_improvement,13751,196419900.0,19.896734782924877,6959639.169927339,Approve All,8.111488715286157,3.5432454501439716
other,12731,125809275.0,24.12222134946194,-278596.0475566917,Approve All,5.1955047041609985,-0.22144317066980293
major_purchase,4291,54632250.0,22.745280820321604,-649146.7433265375,Approve All,2.256130256484665,-1.1882116210233653
small_business,1799,30069575.0,37.520844913841024,-1945394.130277611,Approve All,1.241773457200369,-6.469642920718405
medical,2711,24898025.0,24.751014385835486,-193659.73644543474,Approve All,1.0282056391455887,-0.7778116394590926
house,1281,20374375.0,22.794691647150664,864027.2509329859,Approve All,0.8413939366301908,4.240754628954193
car,2105,19007000.0,16.864608076009503,622920.5305807798,Approve All,0.7849258960596354,3.277321674018939
moving,1487,12074425.0,28.110289172831205,-505761.9671616611,Approve All,0.4986336014378841,-4.188704366142993
vacation,1705,10206800.0,20.821114369501466,-489029.54017418536,Approve All,0.421506899347687,-4.791213114533305
renewable_energy,128,1380625.0,27.34375,52985.24316940701,Approve All,0.057015221510355873,3.837772253103269
debt_consolidation,15139,280528075.0,24.142942070149946,38140078.75714419,BIP Optimal,29.999997059118165,13.595815234230724
credit_card,18529,280527975.0,16.77910302768633,13929499.90011322,BIP Optimal,29.999986365002417,4.965458400401322
home_improvement,11544,164427075.0,18.546431046431046,7094379.423019938,BIP Optimal,17.584021729159915,4.314605379326938
other,9075,91507800.0,22.1267217630854,1427491.780649621,BIP Optimal,9.785950054683024,1.559967325899673
major_purchase,3317,41060425.0,20.651190835091953,82982.49169972651,BIP Optimal,4.39104937802087,0.2020984724335574
medical,1780,17357325.0,21.179775280898877,340913.1358980462,BIP Optimal,1.856212427059781,1.9640879910818414
car,1765,15707200.0,14.90084985835694,792112.127559398,BIP Optimal,1.6797461494967334,5.042987467908971
house,960,15208350.0,19.166666666666668,1201221.1969634686,BIP Optimal,1.6263985530647502,7.898432091341063
small_business,866,13503350.0,34.06466512702079,-374843.4103221606,BIP Optimal,1.4440638794824485,-2.7759290125943603
moving,826,7115850.0,25.544794188861985,-57238.27798300783,BIP Optimal,0.7609772357833561,-0.8043772421145448
vacation,1119,7082225.0,18.766756032171582,-145991.18482848388,BIP Optimal,0.7573813393615351,-2.0613745655988605
renewable_energy,99,1068025.0,29.292929292929294,9058.56688418032,BIP Optimal,0.11421582976700168,0.8481605659212397
debt_consolidation,63946,885454650.0,17.109748850592688,23859079.399768747,PD Threshold (<0.30),57.67803595023886,2.694556903593961
credit_card,25668,336858550.0,16.292660121552128,5255618.126531792,PD Threshold (<0.30),21.94278335660142,1.560185462572285
home_improvement,10765,135647275.0,15.87552252670692,2458962.3421387817,PD Threshold (<0.30),8.835989967416104,1.8127620640656303
other,9476,77164875.0,18.362178134233854,-150603.13690398858,PD Threshold (<0.30),5.026478131145043,-0.19517058364183001
major_purchase,3220,33297775.0,15.65217391304348,32182.01406754816,PD Threshold (<0.30),2.168999014814553,0.09664914267559367
medical,1988,15341450.0,19.3158953722334,-220511.16631174536,PD Threshold (<0.30),0.9993337373391081,-1.437355441055085
car,1787,13946900.0,13.374370453273643,357675.6937594114,PD Threshold (<0.30),0.9084935062392934,2.564553368557969
house,828,11747775.0,14.492753623188406,459052.4933564357,PD Threshold (<0.30),0.7652436957503327,3.9075696747378603
small_business,802,10280100.0,24.81296758104738,-397032.33706446516,PD Threshold (<0.30),0.669640141787104,-3.862144697663108
vacation,1468,7611925.0,17.166212534059948,-256769.9945368407,PD Threshold (<0.30),0.49583666854143454,-3.373259648996026
moving,990,6871625.0,20.1010101010101,-80144.30429145654,PD Threshold (<0.30),0.44761392781274584,-1.1663078862926388
renewable_energy,98,944925.0,23.46938775510204,-4068.938269409281,PD Threshold (<0.30),0.061551902314002704,-0.4306096536137028
