loan_amnt,term,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,target_default,issue_year
3600.0, 36 months,10+ years,MORTGAGE,55000.0,Not Verified,Dec-2015,debt_consolidation,PA,5.91,675.0,679.0,1.0,7.0,0.0,2765.0,29.7,13.0,Individual,1.0,0.0,0,2015
24700.0, 36 months,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2015,small_business,SD,16.06,715.0,719.0,4.0,22.0,0.0,21470.0,19.2,38.0,Individual,4.0,0.0,0,2015
20000.0, 60 months,10+ years,MORTGAGE,63000.0,Not Verified,Dec-2015,home_improvement,IL,10.78,695.0,699.0,0.0,6.0,0.0,7869.0,56.2,18.0,Joint App,5.0,0.0,0,2015
10400.0, 60 months,3 years,MORTGAGE,104433.0,Source Verified,Dec-2015,major_purchase,PA,25.37,695.0,699.0,3.0,12.0,0.0,21929.0,64.5,35.0,Individual,6.0,0.0,0,2015
11950.0, 36 months,4 years,RENT,34000.0,Source Verified,Dec-2015,debt_consolidation,GA,10.2,690.0,694.0,0.0,5.0,0.0,8822.0,68.4,6.0,Individual,0.0,0.0,0,2015
20000.0, 36 months,10+ years,MORTGAGE,180000.0,Not Verified,Dec-2015,debt_consolidation,MN,14.67,680.0,684.0,0.0,12.0,0.0,87329.0,84.5,27.0,Individual,4.0,0.0,0,2015
20000.0, 36 months,10+ years,MORTGAGE,85000.0,Not Verified,Dec-2015,major_purchase,SC,17.61,705.0,709.0,0.0,8.0,0.0,826.0,5.7,15.0,Individual,3.0,0.0,0,2015
10000.0, 36 months,6 years,RENT,85000.0,Not Verified,Dec-2015,credit_card,PA,13.07,685.0,689.0,1.0,14.0,1.0,10464.0,34.5,23.0,Individual,1.0,1.0,0,2015
8000.0, 36 months,10+ years,MORTGAGE,42000.0,Not Verified,Dec-2015,credit_card,RI,34.8,700.0,704.0,0.0,8.0,0.0,7034.0,39.1,18.0,Individual,1.0,0.0,0,2015
1400.0, 36 months,3 years,MORTGAGE,64000.0,Not Verified,Dec-2015,other,NC,34.95,700.0,704.0,0.0,17.0,0.0,37828.0,67.2,24.0,Individual,4.0,0.0,0,2015
18000.0, 60 months,7 years,RENT,150000.0,Not Verified,Dec-2015,debt_consolidation,CA,9.39,665.0,669.0,1.0,18.0,1.0,14052.0,40.7,27.0,Individual,2.0,1.0,1,2015
28000.0, 36 months,10+ years,MORTGAGE,92000.0,Not Verified,Dec-2015,debt_consolidation,NC,21.6,720.0,724.0,0.0,16.0,0.0,51507.0,64.5,24.0,Individual,2.0,0.0,0,2015
9600.0, 36 months,8 years,MORTGAGE,60000.0,Not Verified,Dec-2015,credit_card,SC,22.44,695.0,699.0,0.0,7.0,0.0,7722.0,59.4,9.0,Individual,0.0,0.0,0,2015
25000.0, 36 months,10+ years,MORTGAGE,109000.0,Not Verified,Dec-2015,debt_consolidation,VA,26.02,745.0,749.0,1.0,9.0,0.0,20862.0,54.3,19.0,Individual,3.0,0.0,0,2015
18000.0, 60 months,10+ years,MORTGAGE,112000.0,Not Verified,Dec-2015,debt_consolidation,AZ,8.68,800.0,804.0,0.0,17.0,0.0,10711.0,15.5,27.0,Individual,4.0,0.0,0,2015
8650.0, 36 months,8 years,RENT,55000.0,Verified,Dec-2015,debt_consolidation,IN,25.49,675.0,679.0,4.0,18.0,1.0,9568.0,46.0,19.0,Individual,0.0,1.0,0,2015
29900.0, 60 months,10+ years,MORTGAGE,65000.0,Verified,Dec-2015,debt_consolidation,MD,21.77,715.0,719.0,0.0,15.0,0.0,31682.0,46.7,31.0,Individual,2.0,0.0,0,2015
16000.0, 60 months,10+ years,MORTGAGE,48000.0,Not Verified,Dec-2015,credit_card,SC,33.18,685.0,689.0,0.0,11.0,2.0,19108.0,29.6,19.0,Individual,2.0,0.0,0,2015
28000.0, 36 months,2 years,OWN,125000.0,Source Verified,Dec-2015,debt_consolidation,NY,7.49,695.0,699.0,0.0,6.0,0.0,22780.0,63.1,22.0,Individual,0.0,0.0,0,2015
5000.0, 36 months,2 years,RENT,79000.0,Verified,Dec-2015,credit_card,MD,12.7,665.0,669.0,0.0,3.0,0.0,9441.0,101.5,5.0,Individual,0.0,0.0,0,2015
6000.0, 36 months,10+ years,MORTGAGE,100000.0,Not Verified,Dec-2015,debt_consolidation,TX,13.28,695.0,699.0,1.0,9.0,0.0,8563.0,72.0,16.0,Individual,2.0,0.0,0,2015
4225.0, 36 months,5 years,RENT,35000.0,Source Verified,Dec-2015,debt_consolidation,KS,15.22,725.0,729.0,0.0,6.0,0.0,1058.0,24.6,6.0,Individual,0.0,0.0,1,2015
20000.0, 36 months,9 years,OWN,65000.0,Not Verified,Dec-2015,debt_consolidation,NY,18.83,835.0,839.0,1.0,12.0,0.0,2269.0,3.0,17.0,Individual,0.0,0.0,0,2015
16000.0, 60 months,< 1 year,MORTGAGE,109000.0,Source Verified,Dec-2015,debt_consolidation,NM,23.35,680.0,684.0,1.0,11.0,0.0,42469.0,87.6,33.0,Individual,1.0,0.0,0,2015
17600.0, 36 months,< 1 year,MORTGAGE,88000.0,Source Verified,Dec-2015,credit_card,KS,26.59,780.0,784.0,0.0,20.0,0.0,12203.0,34.4,42.0,Individual,5.0,0.0,0,2015
15000.0, 36 months,10+ years,MORTGAGE,44000.0,Source Verified,Dec-2015,home_improvement,VA,15.34,685.0,689.0,1.0,7.0,0.0,17003.0,50.3,21.0,Individual,2.0,0.0,0,2015
